答弁・約束台帳 バックフィル候補 159件（2026-07-08抽出・全件逐語検証済）
R0209-02 [実施約束] 乗合タクシーAI配車・スマホ予約の実証実験（産業建設部長）
    「乗合タクシーの制度の定着と併せてさらなる利便性の向上を図るということから、三重県の補助金を活用い…」 回収時期: R2年度中（後にR3.1.12〜2.27実施とR02-12議会で答弁）
R0209-03 [調査約束] 中学校給食の在り方検討（アンケート・シミュレーション）（教育長）
    「まずは、保護者、児童・生徒、教職員に向けてのアンケート実施とか、その分析、また様々な方式、財政的…」 回収時期: R2秋〜年度末（教育委員会協議で一歩踏み込んだ見解）
R0209-04 [検討約束] 学校教育施設・社会教育施設の個別長寿命化計画の作成（教育長）
    「亀山市公共施設等総合管理計画の公共建築物個別施設計画に基づき、計画的に進めるべきだと考えておりま…」 回収時期: 不明
R0209-05 [調査約束] 新たな産業団地の検討・調査（亀山IC周辺）（産業建設部長）
    「さらなる企業誘致を進めていくためには、この地域も含めまして、新たな産業団地の検討及び調査を行って…」 回収時期: 不明（県・事業者と連携して継続）
R0209-06 [ゼロ回答] 住宅リフォーム補助金の再実施提案（産業建設部長）
    「今回、コロナで大きな影響を受けられた市内事業者の皆様には、亀山版／持続化給付金制度「けいぞく」を…」 回収時期: 不明（草川は「今後状況次第では検討を」と再要望）
■ R02-12
R0212-01 [数字約束] コロナワクチン接種システム改修の年度内完了（健康福祉部長）
    「システムの改修を含めた体制確保のため、国から示されております事業は、令和２年度中の事業実施を前提…」 回収時期: R2年度末（2021-03）
R0212-02 [実施約束] 押印廃止（約1,000種類）の来年1月1日実施（総合政策部長）
    「この押印廃止は、今後の各種手続のオンライン化を推進しやすい環境づくりにもつながるものと考えており…」 回収時期: 2021-01-01
R0212-03 [検討約束] 文化会館へのサーモグラフィーカメラ設置検討（生活文化部長）
    「私どもといたしましても、文化会館でより安全にイベント等が開催できますよう、新年度に向けまして集客…」 回収時期: R3予算（新年度に向けて）
R0212-04 [調査約束] 企業誘致を見据えた給水可能量の調査・水源手当て（上下水道部長）
    「今後の企業誘致におきまして、水の供給は最も重要なインフラの一つでございます。したがいまして、また…」 回収時期: 不明（企業誘致の動向次第）
R0212-05 [実施約束] 亀山QOL支援事業の利用料引き下げ・スマホアプリ化（健康福祉部長）
    「加入者の減少に歯止めをかけるために、やはり使用料を少しでも安くしたいというのが一つございます。そ…」 回収時期: 不明（シャープ中心の開発進行中）
R0212-06 [数字約束] ひとり親世帯臨時特別給付金の年内（12/25めど）支給（健康福祉部次長）
    「この補正予算をお認めいただいた後は対象者への案内通知、支払い手続等を速やかに進め、今月２５日をめ…」 回収時期: 2020-12-25
■ R03-03
R0303-01 [実施約束] マイナンバーカード交付体制の強化（新年度）（生活文化部長）
    「来年度につきましては、マイナンバーカードの事務に当たる会計年度任用職員をさらに１名増員するととも…」 回収時期: R3年度（2021年度）
R0303-02 [数字約束] 消防指令業務の3市共同運用（令和8年度開始目標）（消防部長）
    「今後の方向性につきましては、来年、３市の各消防長を筆頭とした津・鈴鹿・亀山消防連携・協力検討会を…」 回収時期: 令和8年度（運用開始）／令和4年度以降（方向性決定）
R0303-03 [調査約束] 新産業団地に向けた工業用水調査（市長）
    「まずはその第一歩を踏み出すということで、新年度予算に水の安定供給に関する調査を行わせていただくと…」 回収時期: R3年度調査→以降具体検討（完成まで通常5年程度以上と答弁）
R0303-04 [数字約束] 新庁舎整備基本計画（令和10年度開庁目標）（市長）
    「現時点においては、基本構想に掲げておりますスケジュールとか令和１０年度開庁を目指して、令和３年度…」 回収時期: 令和3年度中（基本計画策定）／令和10年度（開庁）
R0303-05 [検討約束] JR亀山駅構外トイレの改修・在り方協議（産業建設部次長）
    「市が管理する構外トイレにつきましては、現在ＪＲ東海より土地、建物が貸付けされております駅構外トイ…」 回収時期: 不明（亀山駅周辺整備・新図書館開館と連動）
R0303-06 [ゼロ回答] 白鳥の湯の市外・県外利用者制限（ゼロ回答）（健康福祉部長）
    「再開に当たりましては、従前より引き続き、浴場内への入場者を男湯、女湯それぞれ１６名までとする人数…」 回収時期: 不明
■ R03-06
R0306-01 [検討約束] 犯罪被害者支援・子どもが相談できるSNS窓口（危機管理監）
    「一つのツールとしてＳＮＳというご提案もございましたが、これについては特に若い層にとっては非常に相…」 回収時期: 不明（条例施行後の規則・運用整備の中で）
R0306-02 [数字約束] 中学校給食センター建設の工程（4年必要）（教育部長）
    「全員喫食制の中学校給食を実施するまでにかかる期間の想定といたしましては、立地場所の選定などを含め…」 回収時期: 答弁から4〜5年後（R7〜R8年度めど）＋用地取得期間
R0306-03 [検討約束] 就学援助のクラブ活動費支給（教育長）
    「クラブ活動については児童・生徒全員が個々に用意する用具や全員が一律に負担すべき経費を指しますが、…」 回収時期: 不明
R0306-04 [検討約束] 2050年ゼロカーボン宣言（市長）
    「議員ご指摘の本市としてのこの宣言をするか否かということでありますが、市内企業の再生可能エネルギー…」 回収時期: 総合計画後期基本計画の策定過程（R3年度中）
R0306-05 [調査約束] 新庁舎の木造化（市長）
    「庁舎の構造そのもの、木造化等々も含めましてご提案いただいたものも含めまして木造と鉄筋コンクリート…」 回収時期: 新庁舎整備基本計画の策定過程
R0306-06 [ゼロ回答] 地域新電力会社の設立（事業化は困難・研究のみ）（市長）
    「このようなことから、現時点では事業化に取り組むことは困難であるというふうに考えておりますが、第２…」 回収時期: 不明（エナジープロジェクト内で研究）
■ R03-09
R0309-01 [実施約束] タブレット全員持ち帰り・オンライン環境の早期整備（教育長）
    「ただいま議員からご指摘いただいたことは、私も非常にスピード感を持って対応していく必要があると考え…」 回収時期: 2021年内（草川提案基準）／R3補正予算
R0309-02 [検討約束] 保育施設への看護師巡回による感染防止（健康福祉部次長）
    「ご指摘のように看護師などの医療的な専門知識を持つ者が園内の対応に関するアドバイスを行うことにつき…」 回収時期: 不明
R0309-03 [検討約束] 市独自の事業者支援金（産業建設部長）
    「今後も、そういった国・県の動向、国・県の支援制度、影響を受けた市内経済の状況を考慮しまして、引き…」 回収時期: 2021-12議会／R3補正予算
R0309-04 [検討約束] 国体中止に伴う未執行予算のコロナ対策充当（総合政策部次長）
    「事業費の精算を行った後、これにつきましては、まず減額補正等により適正に処理をさせていただき、その…」 回収時期: 2021-12議会（減額補正）
R0309-05 [検討約束] 自宅療養者への生活支援（買物代行等）（健康福祉部長）
    「こういった生活支援につきまして、市民ニーズも踏まえた上で、他市のこういった先進事例を参考にしなが…」 回収時期: 不明（第6波前）
R0309-06 [ゼロ回答] 無症状者向けPCR検査場の設置（ゼロ回答）（健康福祉部長）
    「これについては、本来県のほうが検査を行うべきところをそれを補完的に行うという意味合いと考えており…」 回収時期: 不明
■ R03-12
R0312-01 [検討約束] 18歳以下10万円給付の現金一括支給（市長）
    「亀山市といたしましては、お触れいただいた、まさに子育て世帯にとりましても、それから市の事務作業的…」 回収時期: 2021年内〜2022-03議会（補正予算対応）
R0312-02 [ゼロ回答] 所得制限超世帯への市独自給付（生活文化部長）
    「所得限度額を超える方への支給につきましては、国の支給基準に従い、給付金の支給は行わないところでご…」 回収時期: 不明
R0312-03 [実施約束] 3回目ワクチン接種の前倒し体制（健康福祉部長）
    「２か月のワクチン接種の前倒しの方針が国から正式に示されることになれば、市民の安心・安全のため、可…」 回収時期: 2022年前半（国の前倒し方針決定後）
R0312-04 [検討約束] ちょこボラ（有償ボランティア）3年終了後の財政支援（健康福祉部長）
    「その後の支援の必要性につきましては、事業を継続するために財政的な支援が引き続き必要かどうかを検証…」 回収時期: R5予算（昼生地区が来年度=R4に3年目満了）
R0312-05 [検討約束] GIGAスクール構想の整備・実施計画の策定（教育長）
    「議員ご指摘の実施計画のようなもの、ソフト面を含めて後期基本計画であったり、学校教育ビジョンの中で…」 回収時期: 後期基本計画・学校教育ビジョン策定時（R4年度）
■ R04-03
R0403-01 [検討約束] コストコ周辺への商業系用途地域の設定（産業建設部長）
    「市が積極的に商業系の事業者を誘致するということはございませんけれども、都市計画区域の見直しの中で…」 回収時期: 都市計画区域見直しの時期（不明・R4-06議会でも再答弁あり）
R0403-02 [実施約束] コストコとの災害時応援協定（危機管理監）
    「これについては、本協定の中でも別途協定を交わすこととしておりまして、具体的な協議としてはこれから…」 回収時期: コストコ開業まで（不明）
R0403-03 [検討約束] コストコ年会費クーポンのふるさと納税返礼品化（産業建設部長）
    「今回、議員からご提案がありましたコストコの年会費クーポン券につきましても、市の返礼品の要件に照ら…」 回収時期: コストコ開業後（不明）
R0403-04 [検討約束] 保育園の使用済みおむつ持ち帰り廃止（健康福祉部次長）
    「実施の方法につきましても、廃棄のみ園で行う方法やおむつの準備も含めて実施する方法などもあり、費用…」 回収時期: R5予算（不明）
■ R04-06
R0406-01 [数字約束] 保育所等ICT化の全園運用開始時期（健康福祉部次長）
    「ＩＣＴ化に伴い必要となる環境整備につきましては、令和５年度からの全園での運用開始に向けまして、今…」 回収時期: R4年度中に環境整備・R5年度から全園運用
R0406-02 [検討約束] 保育園教材費集金のキャッシュレス化（健康福祉部次長）
    「口座振替そのものに要する手数料が発生することなど幾つかの課題もございますので、集金方法の変更につ…」 回収時期: 不明（ICTシステム本格運用のR5年度以降）
R0406-03 [数字約束] 公園複合遊具の更新スケジュール（亀山公園・東野公園）（建設部長）
    「来年度以降につきましては、亀山公園の複合遊具の更新を令和６年度までに行い、その後、東野公園の遊具…」 回収時期: 亀山公園=R6年度／東野公園=R6-R7年度／全体完成=R8年度
R0406-04 [実施約束] 複式学級：1年生複式回避の市費加配の継続（教育長）
    「まず、１年生が複式学級にならないような市費単独による担任を可能とする加配につきましては、継続をし…」 回収時期: 毎年度予算（R5予算以降）
R0406-05 [検討約束] 都市公園内スケートボード広場の設置検討（建設部次長）
    「設置につきましては、住宅等が隣接していない都市公園やオープンスペースが確保できる都市公園を中心に…」 回収時期: 不明
R0406-06 [調査約束] いじめ案件の検証作業の完了時期（教育委員会事務局参事）
    「まだ、検証の結果を終えるという時期は確定はされておりませんが、今年度夏頃には検証を終える見込みで…」 回収時期: 2022年夏頃（2022-09議会で回収）
■ R04-09
R0409-01 [検討約束] 保育園の使用済み紙おむつ持ち帰りゼロ（健康福祉部次長）
    「使用済みのおむつの持ち帰りを廃止する園が全国的に増加している傾向があることも事実であり、本市にお…」 回収時期: R5予算（草川は「遅くても新年度から」と要請）
R0409-02 [数字約束] 保育所等ICT化の運用開始スケジュール（健康福祉部次長）
    「今後のシステムの運用に向けてでございますが、来年１月から２回に分けて職員研修を行うとともに、２月…」 回収時期: 2023-04（公立全園運用開始）
R0409-03 [検討約束] 子ども医療費18歳まで無償化（市民文化部長）
    「制度の拡大につきましては、今後他市の動向を注視し、慎重に検討をしてまいりたいと考えております。ま…」 回収時期: 不明（他市動向注視・県要望）
R0409-04 [ゼロ回答] 児童手当所得制限対象への市独自支給（市民文化部長）
    「さらに、先ほど申し上げました各所属庁が審査する公務員の所得超過者に対しても市から支給することとな…」 回収時期: 不明
R0409-05 [検討約束] ちょこボラ4年目以降の支援継続（市長）
    「来年度４年目以降のちょこボラへの支援は、これは鈴鹿亀山地区広域連合との間でこの介護保険事業の介護…」 回収時期: R5予算（来年度からの事業実施に間に合わせる文脈）
R0409-06 [検討約束] 地域まちづくり協議会の役員負担軽減・人的支援（市民文化部長）
    「市といたしましても、それらの意見を受け止め、今後の支援の在り方について、庁内組織でございます地域…」 回収時期: 不明
■ R04-12
R0412-01 [実施約束] 亀山東小体育館屋根の全面改修（教育部長）
    「工事の実施に係る予算につきましては、市議会３月定例会で令和５年度一般会計当初予算の中に計上させて…」 回収時期: R5予算計上→2023年台風シーズン前に工事完了
R0412-02 [実施約束] 最長待ち道路修繕（平成30年度要望3件）の施工（建設部長）
    「最も長くお待ちいただいておりますのは平成３０年度分の側溝設置２件、舗装１件の要望となっております…」 回収時期: R5年度施工
R0412-03 [検討約束] 自治会向け防犯カメラ設置支援の仕組みづくり（危機管理監）
    「亀山市としても例えば一つの取組として関係機関の亀山地区防犯協会や亀山警察署と連携して、専門的なア…」 回収時期: 不明（県内6市補助制度・市長マニフェスト/総合計画記載が背景）
R0412-04 [調査約束] ニホンザル生息調査（亀山C群最優先）（産業環境部長）
    「現在生息調査の来年度実施に向け、準備を進めているところでございます。また、生息調査につきましては…」 回収時期: R5年度（来年度実施）
R0412-05 [検討約束] 病児保育の実現手法検討（健康福祉部次長）
    「現在の市内及び県内での小児科医療の状況など、安全に事業を行うための体制の確保に多くの課題がござい…」 回収時期: 不明（第2期子ども・子育て支援事業計画上はR4開始予定だった）
R0412-06 [調査約束] JR下庄駅ロータリー混雑の安全対策調査（政策部長）
    「ＪＲ下庄駅周辺の朝夕の混雑時における駅利用者の方々の安全性の確保につきましては、まずはその実情を…」 回収時期: 不明
■ R05-03
R0503-01 [実施約束] 帯状疱疹ワクチン接種費用助成の開始（健康福祉部長）
    「こうした高い罹患リスクを踏まえ、令和５年４月から県下他市町に先駆け、帯状疱疹ワクチンの予防接種に…」 回収時期: 2023-04開始
R0503-02 [数字約束] 亀山駅前の短時間利用公共駐車場整備（建設部次長）
    「駅利用者や駅周辺を訪れる方々などの短時間の利用者のための公共駐車場を、来年度完成に向けまして、駅…」 回収時期: R5年度完成
R0503-03 [数字約束] スケートボード施設の利用開始時期（健康福祉部長）
    「現在、施設整備が可能な候補地、これを検討しておる中で、今後、地域の方などのご意見も伺いながら位置…」 回収時期: 2023-10頃利用開始めど
R0503-04 [検討約束] 民間保育所への使用済み紙おむつ処分費支援（健康福祉部次長）
    「したがいまして、今後、民間保育所等に対する使用済み紙おむつの処分費用に対する支援につきましては、…」 回収時期: 不明
R0503-05 [実施約束] 川合9号線拡幅事業の着手（建設部長）
    「事業の概要としましては、川合町地内である国道３０６号との交差点を起点とし、市道和田のぼの線との交…」 回収時期: R5年度に測量・設計着手
R0503-06 [検討約束] 市公式LINEの双方向サービス拡張（政策部長）
    「こうした双方向性を生かしたサービス内容は、システム構築のみならず、その前提として情報を受ける自治…」 回収時期: R5年度中のシステム構築過程で具体化
■ R05-06
R0506-01 [検討約束] 東野公園アーバンスポーツ再整備（市長）
    「今後、運動施設の管理部署と連携をし、東野公園整備の方向性を、具体的にドッグランとか幾つかお話しさ…」 回収時期: R6遊具更新と併せて方向性確定／2024年度
R0506-02 [検討約束] 東野公園キッチンカー社会実験（建設部長）
    「公園利用者の利便性向上や、今後のＰａｒｋ－ＰＦＩ導入検討に向けたキッチンカー等による社会実験は有…」 回収時期: 不明
R0506-03 [検討約束] 石水渓キャンプ場条例改正（冬季営業）（産業環境部長）
    「今後、応募者から提案があり、次期指定管理者の選定を行っていく上で、必要があれば条例を改正すること…」 回収時期: R5年度末の指定管理期間終了・次期指定管理者選定時
R0506-04 [実施約束] 緑の基本計画の改定（公園緑地整備方針）（建設部長）
    「しかし近年、市民の憩いの場の確保や健康の増進に向け、都市公園の機能充実の必要性が高まってきている…」 回収時期: 不明（次期都市マスタープランR8策定との整合を要確認）
R0506-05 [ゼロ回答] 公立保育園の米飯（白米）給食提供（健康福祉部次長）
    「現在の各園における給食施設では、必要となるスペースの確保が困難なことから、今後も米飯の調理、提供…」 回収時期: 不明
R0506-06 [検討約束] 図書館駐車場の駅前商業施設利用への開放（理事（都市政策担当））
    「商業施設所有者の意向や図書館運営に与える影響等を確認した上で、図書館の地上駐車場利用の可否も含め…」 回収時期: 不明
■ R05-09
R0509-01 [検討約束] コストコ誘致・産業奨励制度の改正（市長）
    「そういう意味で、この個別の案件ではございませんが、本市の全体としての産業奨励制度のおっしゃる改正…」 回収時期: 不明（コストコはR6〜R8オープン目標）
R0509-02 [実施約束] 新産業団地の開発（亀山IC周辺）（産業環境部長）
    「開発に向けましては、事業手法や資金調達、用地買収、道路や水のインフラ整備など多くの課題がございま…」 回収時期: 不明
R0509-03 [実施約束] 保育園の米飯給食提供（業者確保）（健康福祉部次長）
    「ほかの市内公立保育所につきましては、提供食数が少ない等の理由で米飯を購入できる業者が現在のところ…」 回収時期: 不明
R0509-04 [数字約束] 中学校全員喫食制給食（外部調理委託食缶方式）の実施時期（教育部長）
    「業者選定から２年程度の準備期間は必要であると考えておりますので、令和８年度中の実施が妥当であると…」 回収時期: 令和8年度中（極力早期）
R0509-05 [検討約束] 子ども政策の司令塔部署（子ども未来部）の設置（総務財政部長）
    「本市といたしましては、切れ目のない子ども・子育て支援体制をさらに強化するため、現在、令和６年度に…」 回収時期: 令和6年度組織改編
R0509-06 [ゼロ回答] 中学校制服のリユース事業（教育部長）
    「教育委員会といたしましては、市内一斉に中学校制服等のリユース事業を導入するということにつきまして…」 回収時期: 不明
■ R06-12
R0612-01 [数字約束] 4大規模事業の整備手法・スケジュールの年度内提示（市長）
    「その過程で、公の議論も含めまして、今申し上げたようなことも本年度中に一定の考えを整理してお示しを…」 回収時期: R6年度中（〜2025年3月）
R0612-02 [実施約束] 亀山駅周辺エリアプラン策定（市街地再開発・文化会館含む）（理事（都市政策担当））
    「今後予定されております新庁舎の詳細位置決定を含めた検討スケジュールと調整を図りながら、土地所有者…」 回収時期: 不明（新庁舎詳細位置決定スケジュールと連動）
R0612-03 [実施約束] 溶融施設長寿命化計画の改定版策定（延命化＋民間委託）（産業環境部参事）
    「令和１２年度以降の適切な延命化年数の設定と新ごみ処理施設の稼働開始まで、一般ごみの民間事業者への…」 回収時期: 不明（現行計画はR11年度末まで稼働・次期施設R19年度稼働見込）
R0612-04 [ゼロ回答] コストコ誘致・産業振興奨励制度の検討状況（産業環境部長）
    「産業集積の多様化を促進するためにも、産業振興奨励制度の改正も打開策の一つとして有効であれば、商業…」 回収時期: 不明（コストコはR8年中オープンと先方提示）
R0612-05 [検討約束] 南部地域の公共交通再編（3者による仕組みづくり）（政策部長）
    「現在、南部ルートなど３路線が該当路線となっておりますので、今後の利用動向も踏まえつつ、対応を図っ…」 回収時期: 不明
R0612-06 [実施約束] 小・中学校体育館への空調設置（教育部長）
    「このことから、学校施設の一環として、ほかの教育課題との優先度も勘案しつつ、長寿命化計画に基づく施…」 回収時期: 不明（国の防災拠点整備推進の具体化動向を注視と付言）
■ R07-03
R0703-01 [実施約束] 特別教室エアコン設置（体育館は後）（教育部長）
    「この特別教室への空調設備設置については喫緊の課題と認識しておりますので、学校施設等長寿命化計画の…」 回収時期: 次期総合計画（R8年度〜）への反映／R8予算
R0703-02 [数字約束] 道路側溝整備・令和元年度分5件の着手（建設部長）
    「この５件につきましては、工事費が高額となることから整備スケジュールの中で進めていく計画であり、整…」 回収時期: R8予算（令和8年度当初予算に側溝整備5件が計上・着手されるか）
R0703-03 [調査約束] 市道の防草対策新技術（ウィードコート工法）（建設部長）
